Precision: 0.5714285714285714 , Recall 0.5714285714285714 , F1 0.5714285714285714 , Coverage 1 
Precision: 0.9130434782608695 , Recall 0.9130434782608695 , F1 0.9130434782608695 , Coverage 1 
Precision: 0.7777777777777778 , Recall 0.7777777777777778 , F1 0.7777777777777778 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8709677419354839 , Recall 0.8709677419354839 , F1 0.8709677419354839 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9642857142857143 , Recall 0.9642857142857143 , F1 0.9642857142857143 , Coverage 1 
Precision: 0.9545454545454546 , Recall 0.9545454545454546 , F1 0.9545454545454546 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8461538461538461 , Recall 0.8461538461538461 , F1 0.8461538461538461 , Coverage 1 
Precision: 0.75 , Recall 0.75 , F1 0.75 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9166666666666666 , Recall 0.9166666666666666 , F1 0.9166666666666666 , Coverage 1 
Precision: 0.9761904761904762 , Recall 0.9761904761904762 , F1 0.9761904761904762 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9753086419753086 , Recall 0.9753086419753086 , F1 0.9753086419753086 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.8571428571428571 , Recall 0.8571428571428571 , F1 0.8571428571428571 , Coverage 1 
Precision: 1.0 , Recall 1.0 , F1 1.0 , Coverage 1 
Precision: 0.9230769230769231 , Recall 0.9230769230769231 , F1 0.9230769230769231 , Coverage 1 
Precision: 0.9444444444444444 , Recall 0.9444444444444444 , F1 0.9444444444444444 , Coverage 1 
